playerid,g1,g2,g3,g4,g5,wing,cycloergometer,treadmill,yoyo,tivre
P1,197.0,205.0,193.0,205.0,203.0,169.0,174.0,185.0,178.0,183.0
P2,204.0,210.0,201.0,205.0,206.0,178.0,194.0,200.0,196.0,200.0
P3,182.0,192.0,177.0,193.0,193.0,149.0,167.0,175.0,179.0,184.0
P4,183.0,192.0,,,,153.0,173.0,183.0,184.0,185.0
P5,199.0,201.0,200.0,205.0,205.0,175.0,181.0,196.0,200.0,203.0
P6,204.0,201.0,201.0,207.0,207.0,178.0,190.0,200.0,198.0,203.0
P7,190.0,190.0,187.0,196.0,200.0,153.0,173.0,185.0,181.0,191.0
P8,,,191.0,198.0,197.0,152.0,173.0,180.0,184.0,192.0
P9,200.0,203.0,190.0,203.0,200.0,164.0,186.0,192.0,189.0,196.0
P10,199.0,205.0,205.0,204.0,204.0,178.0,185.0,191.0,188.0,194.0
