playerid,type,age,height,weight,fcmax,bmi,body fat
P1,PF,23.0,1.91,94.2,205.0,25.821660590444342,17.2
P2,SF,18.0,1.97,92.3,210.0,23.783143085366795,22.9
P3,SG,23.0,1.87,82.8,193.0,23.678114901770133,12.2
P4,SF,23.0,1.89,80.1,192.0,22.423784328546233,14.6
P5,PG,22.0,1.89,82.2,205.0,23.0116738053246,15.5
P6,PG,18.0,1.86,85.4,207.0,24.684934674528847,20.2
P7,C,22.0,1.95,91.7,200.0,24.11571334648258,19.5
P8,C,19.0,1.99,107.8,198.0,27.221534809727025,21.3
P9,PF,22.0,2.02,87.8,203.0,21.517498284481913,14.1
P10,SG,24.0,1.8,80.1,205.0,24.722222222222218,18.7
